Rank,Business Name,Phone,Phone_E164,City,State,Niche,Score,Timezone
1,Coast to Coast Heating & Air LLC,(352) 234-4978,+13522344978,Ocala,FL,HVAC,75,Eastern
2,Mechanical Air LLC,(407) 960-1591,+14079601591,Orlando,FL,HVAC,73,Eastern
3,Air Design,(770) 483-8402,+17704838402,Conyers,GA,HVAC,70,Eastern
4,Hogue Services,(770) 948-5577,+17709485577,Atlanta,GA,HVAC,70,Eastern
5,Majestic Air Conditioning,(407) 374-5009,+14073745009,Orlando,FL,HVAC,70,Eastern
6,Bold City Heating & Air,(904) 379-1648,+19043791648,Jacksonville,FL,HVAC,68,Eastern
7,Cool R Us Inc A/C & Heating,(904) 592-0651,+19045920651,Jacksonville,FL,HVAC,68,Eastern
8,Elite AC,(904) 420-0075,+19044200075,Jacksonville,FL,HVAC,68,Eastern
9,Hammond Heating & Air Conditioning,(904) 893-3341,+19048933341,Jacksonville,FL,HVAC,68,Eastern
10,J&W Heating and Air & Plumbing,(904) 780-5787,+19047805787,Jacksonville,FL,HVAC,68,Eastern
11,AmeriTech Air & Heat,(407) 743-7106,+14077437106,Orlando,FL,HVAC,68,Eastern
12,Mechanical One of Orlando,(407) 537-2795,+14075372795,Orlando,FL,HVAC,68,Eastern
13,Rolando's HVAC,(813) 373-6804,+18133736804,Orlando,FL,HVAC,65,Eastern
14,Airco Mechanical,(512) 537-1234,+15125371234,Round Rock,TX,HVAC,65,Central
15,Casteel Air,(770) 691-5164,+17707586263,Lawrenceville,GA,HVAC,65,Eastern
16,Gerald Griffin Heating & Air,(770) 422-0446,+19802775122,Atlanta,GA,HVAC,65,Eastern
17,Straight Cool Mechanical,(210) 591-3704,+12105913704,San Antonio,TX,HVAC,65,Central
18,Terry's AC and Heating,(281) 495-7830,+12814957830,Houston,TX,HVAC,65,Central
19,Time Savers Heating & Cooling LLC,(513) 909-7283,+15139097283,Loveland,OH,HVAC,65,Eastern
20,Apex Pros Plumbing Electrical Heating and Air,(614) 987-8100,+16143503923,Dublin,OH,HVAC,60,Eastern
21,Bradham Comfort Services,(704) 912-1456,+17049121456,Charlotte,NC,HVAC,60,Eastern
22,Heights AC and Heating,(713) 360-1234,+18327290017,Houston,TX,HVAC,60,Central
23,Punbar Air,(832) 324-2622,+18327364432,Houston,TX,HVAC,60,Central
24,Roman Cavalry Air Conditioning,(832) 318-4100,+17139095456,Houston,TX,HVAC,60,Central
25,Total Comfort HVAC & Plumbing,(804) 533-6810,+18045336810,Fredericksburg,VA,HVAC,60,Eastern
26,Bay Area Plumbing Inc.,(813) 620-0044,+18136200044,Tampa,FL,Plumbing,60,Eastern
27,1st Choice Plumbing Air & Insulation,(623) 292-3697,+16232923697,Phoenix,AZ,HVAC,58,Mountain
28,Benefit Air Conditioning,(602) 840-9229,+16028409229,Phoenix,AZ,HVAC,58,Mountain
29,Desert Diamond Air Cooling & Heating,(623) 246-2377,+16232462377,Phoenix,AZ,HVAC,58,Mountain
30,Ideal Air Conditioning and Insulation,(480) 573-7604,+14805737604,Phoenix,AZ,HVAC,58,Mountain
